BATTERS - LAD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
BettsRF,3,3,1,0,2,0,2,.196,.667
"Freeman, F1B",4,1,1,2,0,0,3,.322,.922
Rios1B,1,0,0,0,0,1,0,.235,.690
TurnerSS,4,1,1,1,0,0,3,.279,.701
McKinstrySS,1,0,0,0,0,0,0,.000,.000
"Turner, JDH",4,1,2,1,0,1,0,.218,.529
Muncy3B,4,1,0,1,1,2,3,.140,.617
"Taylor, ChLF",4,0,0,1,0,3,2,.289,.770
BellingerCF,4,2,2,4,0,2,0,.273,.915
Alberto2B,4,0,1,0,0,1,0,.231,.462
"Barnes, AC",2,1,0,0,1,0,0,.286,1.089
,35,10,8,10,4,10,13,,
