BATTERS - BOS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Hernández, KCF",4,0,1,0,0,0,0,.222,.627
Casas1B,4,0,1,0,0,1,1,.211,.808
PhamLF,4,0,0,0,0,1,2,.239,.692
MartinezDH,4,1,2,0,0,0,1,.273,.779
Arroyo2B,4,0,1,0,0,1,1,.278,.723
"Almonte, ARF",4,1,1,0,0,0,2,.321,.845
ChangSS,4,0,0,0,0,2,3,.208,.601
Dalbec3B,4,1,2,3,0,1,1,.212,.648
WongC,3,0,0,0,0,1,1,.174,.533
,35,3,8,3,0,7,12,,
