PITCHERS - TOR,IP,H,R,ER,BB,SO,HR,ERA
Gausman,3.0,4,2,2,0,4,0,3.35
"Pop(W, 4-0)",2.0,0,0,0,0,2,0,2.77
"Cimber(H, 19)",1.0,2,0,0,0,0,0,2.84
"Bass(H, 23)",1.0,1,1,1,0,0,1,1.56
"Garcia, Y(H, 22)",1.0,1,0,0,0,0,0,3.15
"Romano(S, 36)",1.0,0,0,0,0,1,0,2.14
,9.0,8,3,3,0,7,1,
