BATTERS - TB,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Díaz, Y3B",3,0,2,0,1,0,0,.271,.746
FrancoSS,4,0,1,0,0,1,2,.262,.698
"Ramírez, HDH",3,0,0,0,1,2,3,.306,.763
ArozarenaLF,4,0,0,0,0,2,2,.253,.705
Paredes1B,4,1,1,1,0,1,0,.243,.903
BrujánRF,4,0,1,0,0,2,0,.160,.466
Walls2B,3,0,0,0,0,2,1,.164,.514
"Mejía, FC",3,0,0,0,0,1,1,.226,.588
"Lowe, JCF",3,0,0,0,0,0,0,.173,.515
,31,1,5,1,2,11,9,,
