PITCHERS - TOR,IP,H,R,ER,BB,SO,HR,ERA
"Kikuchi(W, 3-4)",6.0,4,1,1,1,8,1,4.74
"Thornton(H, 2)",1.0,1,0,0,0,1,0,3.82
"Phelps(H, 6)",1.0,0,0,0,1,1,0,3.23
"Cimber(S, 4)",1.0,0,0,0,0,1,0,3.58
,9.0,5,1,1,2,11,1,
