PITCHERS - STL,IP,H,R,ER,BB,SO,HR,ERA
"Wainwright(W, 11-9)",5.0,8,1,1,2,3,0,3.29
"Pallante(H, 8)",1.0,0,0,0,1,1,0,3.21
"Hicks, J(H, 8)",1.0,1,0,0,1,2,0,4.92
"Gallegos(H, 10)",1.0,0,0,0,0,2,0,3.21
"Helsley(S, 17)",1.0,1,0,0,0,2,0,1.23
,9.0,10,1,1,4,10,0,
