Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2018,HOU,AL,72,13,39,0,0,.176,3,1,5,278,3.861,.181,.000,.462,.063,0,0
2019,HOU,AL,72,36,35,0,0,.326,10,1,11,259,3.597,.278,.056,.200,.269,0,0
2020,HOU,AL,228,107,89,0,1,.303,27,2,37,862,3.781,.202,.039,.391,.244,3,1
2021,HOU,AL,567,282,235,0,5,.304,70,10,100,2180,3.845,.159,.053,.589,.263,6,0
2022,HOU,AL,609,260,246,0,2,.261,59,11,90,2262,3.714,.156,.049,.621,.221,4,1
5 Seasons,HOU,AL,1548,698,644,0,8,.282,169,25,243,5841,3.773,.171,.047,.530,.235,13,2
