BATTERS - MIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Arraez1B,5,1,1,0,0,1,3,.334,.839
CorreaSS,5,1,1,2,0,3,2,.270,.788
BuxtonDH-CF,3,2,2,1,1,1,0,.222,.853
Polanco2B,2,0,0,0,2,1,1,.237,.769
KirilloffRF,3,0,0,0,0,0,2,.250,.651
ContrerasRF,0,0,0,0,0,0,0,.111,.211
a-GarlickPH,1,1,0,0,0,0,1,.273,.881
"Duran, JP",0,0,0,0,0,0,0,.000,.000
DuffeyP,0,0,0,0,0,0,0,.000,.000
Miranda3B,3,2,1,1,0,0,0,.276,.785
GordonLF,4,0,2,1,0,1,0,.263,.712
SanchezC,4,0,0,0,0,4,3,.210,.666
CelestinoCF-RF,4,0,2,1,0,1,0,.269,.653
,34,7,9,6,3,12,12,,
