BATTERS - SD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
ProfarLF,5,1,2,3,0,1,1,.243,.746
"Machado, M3B",5,1,1,1,0,3,3,.297,.886
Hosmer1B,4,0,0,0,1,0,2,.274,.734
VoitDH,4,0,1,0,0,2,2,.226,.736
MazaraRF,4,0,1,0,0,3,2,.279,.702
"Nola, AuC",3,0,0,0,1,1,2,.241,.621
GrishamCF,4,0,1,0,0,0,3,.191,.625
KimSS,3,1,1,0,1,0,1,.244,.694
Abrams2B,3,1,1,0,0,1,1,.234,.610
,35,4,8,4,3,11,17,,
