PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
"Musgrove(L, 8-4)",6.0,4,2,2,2,8,1,2.65
Crismatt,1.0,0,0,0,0,2,0,2.54
Morejon,0.1,3,4,4,1,1,1,6.75
Lamet,0.2,2,1,1,0,1,0,9.49
Baez,1.0,0,0,0,0,0,0,0.00
,9.0,9,7,7,3,12,2,
