BATTERS - CLE,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
KwanLF,4,0,2,1,0,1,1,.297,.759
"Rosario, ASS",4,0,0,0,0,0,4,.283,.725
"Ramírez, JoDH",4,0,0,0,0,0,1,.281,.888
"Naylor, J1B",1,0,0,0,0,0,0,.273,.806
"Miller, O1B",3,1,1,0,0,0,0,.242,.661
Gimenez2B,4,1,1,2,0,2,0,.312,.880
"Gonzalez, ORF",4,1,2,0,0,2,0,.305,.780
BensonCF,2,1,0,0,1,0,1,.136,.376
MaileC,4,1,2,2,0,0,3,.235,.687
"Freeman, T3B",2,0,0,0,1,0,1,.222,.639
,32,5,8,5,2,5,11,,
