BATTERS - TOR,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SpringerCF,5,0,2,0,0,0,2,.271,.852
BichetteSS,5,0,2,0,0,1,2,.262,.750
GuerreroDH,5,0,0,1,0,1,5,.243,.800
Espinal2B,5,0,1,0,0,1,4,.290,.797
"Tapia, RRF",4,1,1,1,0,1,2,.242,.604
Gurriel Jr.LF,4,0,1,0,0,1,0,.253,.663
"Chapman, M3B",3,0,1,0,1,1,0,.222,.693
CollinsC,4,2,2,1,0,1,3,.212,.743
Biggio1B,4,1,2,0,0,0,3,.184,.589
,39,4,12,3,1,7,21,,
