PITCHERS - NYY,IP,H,R,ER,BB,SO,HR,ERA
"Taillon(W, 2-1)",6.0,5,1,1,0,4,0,2.84
"Peralta, Wa",1.0,2,0,0,0,1,0,2.16
Castro,1.0,1,0,0,0,1,0,1.80
Luetge,1.0,0,0,0,0,1,0,4.15
,9.0,8,1,1,0,7,0,
