PITCHERS - BOS,IP,H,R,ER,BB,SO,HR,ERA
Eovaldi,5.0,5,3,3,1,7,2,5.40
"Whitlock(BS, 1)",2.1,2,1,1,0,4,1,3.86
Strahm,0.2,0,0,0,1,1,0,0.00
Robles,1.0,1,0,0,1,2,0,0.00
"Diekman(H, 1)",0.1,0,1,0,1,0,0,0.00
"Brasier(BS, 1)",0.2,0,0,0,0,1,0,0.00
"Crawford, K(L, 0-1)",0.0,1,1,0,0,0,0,-.--
,10.0,9,6,4,4,15,3,
