BATTERS - HOU,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Altuve2B,3,1,1,0,1,1,0,.259,.834
BrantleyLF,2,0,0,0,2,1,1,.273,.721
Bregman3B,3,2,1,1,1,0,3,.235,.791
"Alvarez, YDH",2,1,0,0,2,1,0,.256,.957
TuckerRF,4,0,0,0,0,3,5,.238,.718
DíazSS,3,1,2,4,0,0,0,.210,.602
PeñaSS,1,0,1,0,0,0,0,.242,.800
Goodrum1B,4,0,0,0,0,3,2,.139,.356
CastroC,3,0,0,0,0,2,1,.069,.275
SiriCF,3,0,0,0,0,1,1,.180,.541
,28,5,5,5,6,12,13,,
