BATTERS - DET,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Hill, DCF",4,0,0,0,0,2,0,.250,.554
"Báez, JSS",3,0,0,0,1,1,0,.236,.675
GrossmanRF,3,0,0,0,1,1,1,.263,.691
"Cabrera, MDH",3,0,0,0,1,3,1,.259,.648
Candelario3B,3,0,0,0,0,1,2,.200,.571
Schoop2B,3,0,1,0,0,0,2,.134,.372
Torkelson1B,3,0,0,0,0,3,1,.167,.581
HaaseC,3,0,0,0,0,0,0,.130,.433
BaddooLF,3,0,0,0,0,0,0,.140,.438
,28,0,1,0,3,11,7,,
