PITCHERS - DET,IP,H,R,ER,BB,SO,HR,ERA
"Peralta, Wi",2.0,1,0,0,3,3,0,0.00
"Hutchison(L, 0-3)",2.0,2,4,4,2,4,1,4.91
"Jiménez, J",1.0,1,1,1,0,2,1,4.76
Vest,2.0,0,0,0,1,2,0,1.42
"Barnes, J",1.0,1,0,0,0,1,0,0.82
,8.0,5,5,5,6,12,2,
