PITCHERS - MIL,IP,H,R,ER,BB,SO,HR,ERA
"Woodruff(W, 11-4)",8.0,5,1,1,1,10,1,3.26
"Williams, D(S, 13)",1.0,0,0,0,0,2,0,1.76
,9.0,5,1,1,1,12,1,
