PITCHERS - NYY,IP,H,R,ER,BB,SO,HR,ERA
"Taillon(L, 13-5)",5.0,4,4,4,2,4,1,4.04
Weissert,1.0,0,0,0,0,0,0,6.75
Chapman,1.0,0,0,0,1,1,0,4.55
Marinaccio,1.0,0,0,0,1,3,0,1.88
,8.0,4,4,4,4,8,1,
