Year,Pitch Type,#,%,PA,AB,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Whiff%,PutAway%
2022,Fastballs,"1,133",54.4,289,263,82,43,20,1,18,55,208,.312,.312,.601,.615,.415,.422,94.3,12,28.1,20.1
2022,Breaking,738,35.4,176,168,32,19,12,0,1,76,92,.190,.179,.280,.291,.225,.225,88.5,9,42.7,32.2
2022,Offspeed,211,10.1,69,68,19,10,3,0,6,21,47,.279,.290,.588,.576,.374,.374,93.1,15,45.2,30.4
2021,Fastballs,"1,281",55.9,323,293,92,53,20,0,19,67,226,.314,.314,.577,.612,.404,.418,94.2,15,26.4,20.3
2021,Breaking,766,33.4,195,186,53,35,7,0,11,59,128,.285,.253,.500,.478,.344,.323,89.6,14,38.8,20.3
2021,Offspeed,243,10.6,76,71,18,14,2,0,2,22,50,.254,.243,.366,.380,.284,.289,86.7,4,38.4,27.5
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
