Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2016,,21.4,4,4.2,0,1,0,4,100.0
2017,,22.8,8,7.4,1,0,4,5,62.5
2018,,23.7,22,26.3,-4,10,22,12,54.5
2019,,23.6,26,21.5,5,10,13,13,50.0
2020,,24.5,16,14.5,2,3,7,9,56.3
2021,,24.9,32,33.0,-1,8,25,12,37.5
2022,,25.1,27,27.7,-1,6,23,11,40.7
Player,,24.3,135,134.7,0,38,94,66,48.9
