BATTERS - BOS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Story2B,4,1,1,0,0,0,1,.234,.592
"Hernández, KCF",3,1,1,1,1,2,1,.180,.603
Devers3B,4,0,1,0,0,2,2,.265,.742
BogaertsDH,4,0,1,0,0,1,2,.350,.871
VerdugoLF,4,0,1,1,0,0,1,.291,.840
Dalbec1B,4,0,0,0,0,3,3,.154,.483
ArroyoSS,3,0,0,0,0,1,2,.179,.351
"a-Shaw, TPH",1,0,0,0,0,0,0,.000,.000
VázquezC,3,0,0,0,0,0,0,.189,.470
RefsnyderRF,3,0,1,0,0,0,0,.250,.900
,33,2,6,2,1,9,12,,
