BATTERS - TEX,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Semien2B,3,1,0,0,1,0,0,.243,.719
SeagerSS,2,0,0,0,2,0,1,.252,.797
"Lowe, N1B",4,1,1,0,0,0,2,.305,.861
"García, AdRF",4,0,1,1,0,0,2,.251,.743
HeimC,4,0,0,1,0,2,1,.235,.724
TaverasCF,4,0,2,0,0,0,1,.289,.734
CalhounDH,3,0,0,0,1,2,1,.207,.619
"Duran, E3B",3,0,0,0,0,1,2,.239,.653
"Thompson, BLF",3,0,0,0,0,2,2,.294,.689
,30,2,4,2,4,7,12,,
