Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2015,24,28.8,4.28,4,1,10,51,92.6
2016,25,28.8,4.19,6,1,9,64,90.8
2017,26,28.6,4.22,5,1,11,94,86.1
2018,27,28.7,4.27,10,1,10,91,86.5
2019,28,28.8,4.22,3,2,8,78,88.7
2020,29,28.2,4.39,,1,6,82,83.8
2021,30,28.8,4.28,4,1,2,62,91.0
2022,31,28.8,4.35,5,2,5,88,86.0
