Year,xwOBA,xBA,xSLG,xISO,xOBP,Brl,Brl%,EV,Max EV,"Hard
Hit%",K%,BB%,Whiff%,"Chase
Rate",Speed,OAA,"Arm
Strength"
2015,48,77,57,44,35,43,41,45,72,45,78,6,81,31,93,,
2016,27,65,30,22,31,29,25,41,73,42,58,12,67,38,91,,
2017,58,82,59,44,58,56,49,51,83,50,62,21,73,42,86,,
2018,78,79,79,72,66,72,65,50,72,71,58,33,62,62,87,,
2019,61,76,64,55,56,74,59,71,88,62,58,29,59,26,89,,
2020,72,44,82,88,53,84,88,73,88,67,38,38,30,61,84,,
2021,51,50,42,43,58,49,52,55,79,72,31,50,33,28,91,,
2022,86,88,85,75,81,83,80,75,66,85,49,39,42,36,86,,
