,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,562,504,75,139,22,84,21,.276,.342,.478,.820
9 Seasons,4039,3679,519,1013,134,515,78,.275,.332,.456,.788
