Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2016,R,526,5,1.0,.326,.651
2017,R,573,12,2.1,.325,.628
2018,R,529,33,6.2,.354,.347
2019,R,591,160,27.1,.338,.346
2020,R,195,104,53.3,.363,.359
2021,R,527,120,22.8,.340,.313
2022,R,560,66,11.8,.335,.488
