 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2014,,24,16.3,29.2%,4.2%,33,21.0,3.0%,18.2%
2015,,485,17.9,27.6%,3.9%,279,23.2,6.5%,19.7%
2016,,590,18.4,21.2%,4.9%,395,23.4,4.1%,14.2%
2017,,578,18.0,11.6%,1.7%,411,23.4,0.2%,12.9%
2018,,585,16.9,24.1%,0.9%,373,22.3,0.0%,8.3%
2019,,637,18.6,9.9%,2.0%,397,24.0,0.3%,12.3%
2020,,168,19.4,5.4%,3.0%,172,24.8,0.0%,16.3%
2021,,550,19.2,6.4%,4.5%,354,25.3,0.8%,18.9%
2022,,597,18.8,8.9%,1.8%,390,24.0,0.0%,13.8%
