BATTERS - COL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
BlackmonRF,5,2,2,0,0,1,3,.268,.775
GrichukRF,0,0,0,0,0,0,0,.250,.698
IglesiasDH,5,1,3,2,0,0,2,.313,.770
Cron1B,5,0,0,0,0,1,7,.277,.836
McMahon2B,3,1,2,5,1,1,0,.241,.720
DazaCF,4,0,1,0,0,0,2,.299,.713
"Montero, E3B",4,0,1,0,0,3,0,.205,.534
HampsonSS,4,0,0,0,0,1,0,.225,.644
HilliardLF,4,1,2,0,0,2,0,.181,.530
ServenC,4,2,3,0,0,0,1,.236,.682
,38,7,14,7,1,9,15,,
