PITCHERS - ATL,IP,H,R,ER,BB,SO,HR,ERA
Fried,6.0,9,3,3,0,8,0,2.73
"Lee, D(H, 5)",1.0,0,0,0,0,2,0,1.38
"Minter(L, 4-3)(BS, 3)",1.0,3,3,3,0,0,1,2.40
,8.0,12,6,6,0,10,1,
