PITCHERS - SF,IP,H,R,ER,BB,SO,HR,ERA
"Wood(W, 2-0)",5.0,4,2,2,1,5,1,2.51
"Leone(H, 2)",1.0,2,0,0,0,0,0,1.69
"Brebbia(H, 1)",1.0,0,0,0,0,1,0,1.50
"Rogers, Ty(H, 5)",1.0,0,0,0,0,2,0,2.35
"Doval(S, 3)",1.0,1,0,0,0,1,0,3.68
,9.0,7,2,2,1,9,1,
