PITCHERS - NYY,IP,H,R,ER,BB,SO,HR,ERA
"Cole(L, 9-6)",6.0,5,4,4,2,5,0,3.41
Marinaccio,1.0,0,0,0,0,2,0,1.80
Effross,1.0,1,0,0,0,1,0,2.75
"Abreu, A",1.0,1,1,1,0,1,1,3.32
,9.0,7,5,5,2,9,1,
