PITCHERS - TB,IP,H,R,ER,BB,SO,HR,ERA
"Springs(W, 5-3)",5.0,2,1,1,1,4,0,2.52
"Fairbanks(H, 4)",1.0,0,0,0,0,1,0,2.70
"Raley, B(H, 18)",0.2,1,0,0,0,0,0,2.35
"Armstrong(H, 2)",1.0,1,0,0,0,1,0,5.02
"Adam(S, 7)",1.1,0,0,0,0,2,0,1.13
,9.0,4,1,1,1,8,0,
