PITCHERS - SF,IP,H,R,ER,BB,SO,HR,ERA
Junis,7.0,4,1,1,0,7,1,3.53
"Young, Al",1.0,0,0,0,0,1,0,1.29
"Brebbia(W, 6-1)",1.0,1,0,0,0,2,0,2.84
,9.0,5,1,1,0,10,1,
