PITCHERS - CHC,IP,H,R,ER,BB,SO,HR,ERA
Sampson,6.0,5,1,1,0,1,1,3.76
"Hughes(H, 4)",0.2,1,0,0,1,1,0,3.26
"Rodríguez, M(H, 1)",1.0,1,1,1,1,1,0,3.00
"Wick(BS, 5)",0.1,0,0,0,2,0,0,4.45
"Leiter Jr.(L, 2-7)(BS, 3)",0.2,2,2,2,1,1,0,4.34
Rucker,0.1,0,0,0,1,0,0,4.26
,9.0,9,4,4,6,4,1,
