Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2020,BAL,AL,140,62,51,0,2,.398,10,2,20,520,3.714,.214,.036,.367,.159,3,0
2021,BAL,AL,586,260,221,0,7,.297,57,12,62,2295,3.916,.275,.056,.255,.232,3,0
2022,BAL,AL,609,235,237,0,7,.303,51,12,77,2340,3.842,.253,.036,.279,.173,1,0
3 Seasons,BAL,AL,1335,557,509,0,16,.311,118,26,159,5155,3.861,.258,.045,.275,.198,7,0
