Year,Pitch Type,#,%,PA,AB,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Whiff%,PutAway%
2022,Fastballs,"1,253",53.6,313,283,68,45,12,1,10,71,217,.240,.289,.396,.534,.302,.378,92.6,15,24.7,20.8
2022,Breaking,859,36.7,225,208,54,32,12,0,10,57,153,.260,.272,.462,.508,.331,.356,89.5,18,35.1,18.0
2022,Offspeed,226,9.7,70,64,17,11,4,0,2,26,38,.266,.246,.422,.401,.329,.313,91.5,12,39.1,27.1
2021,Fastballs,"1,250",54.5,310,275,77,40,14,1,22,65,215,.280,.281,.578,.554,.384,.385,90.9,17,24.9,17.3
2021,Breaking,770,33.6,190,184,47,29,9,0,9,68,116,.255,.213,.451,.389,.310,.268,87.7,17,38.5,24.1
2021,Offspeed,275,12.0,84,75,12,10,0,0,2,28,49,.160,.191,.240,.273,.210,.240,84.1,15,40.9,27.5
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
