 ,2+ Stars (0-90%), , , ,Components of Jump, , ,Jump
Year,Outs,Opp,%,OAA,Reaction,Burst,Route,Feet vs Avg,Feet Covered
2020,2,5,40,-1,-1.1,-1.6,0.7,-2,27.9
2021,2,12,16.7,-5,-1.3,-0.8,0.1,-2,29.6
