BATTERS - TOR,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SpringerCF,4,0,1,0,0,0,2,.267,.802
BichetteSS,4,0,0,0,0,0,1,.204,.510
Guerrero1B,3,0,2,0,1,1,0,.317,1.071
Gurriel Jr.LF,4,0,0,0,0,2,4,.275,.668
CollinsDH,4,1,2,1,0,2,3,.400,1.229
1-BiggioPR-DH,0,0,0,0,0,0,0,.000,.294
"Chapman, M3B",4,0,1,0,0,1,1,.229,.754
KirkC,4,0,2,0,0,0,0,.233,.566
"Tapia, RRF",4,0,0,0,0,2,3,.200,.440
Espinal2B,4,0,0,0,0,1,3,.229,.622
,35,1,8,1,1,9,17,,
