 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2014,,30,128,-2,5,1,1,4
2015,,465,"1,714",-5,-21,12,5,-10
2016,,544,"2,138",-2,-14,11,9,3
2017,,574,"2,165",0,-22,13,9,-1
2018,,527,"2,039",7,-11,15,9,21
2019,,591,"2,331",-15,-4,16,9,6
2020,,195,742,2,-8,6,5,4
2021,,532,"2,096",-5,-10,10,14,9
2022,,633,"2,476",-6,-6,16,11,15
