PITCHERS - ATL,IP,H,R,ER,BB,SO,HR,ERA
"Wright(W, 18-5)",5.1,3,1,1,3,4,0,3.18
"Minter(H, 28)",1.0,0,0,0,1,2,0,2.10
"McHugh(H, 12)",0.2,0,0,0,1,0,0,2.79
"Iglesias, R(H, 9)",1.0,0,0,0,0,1,0,2.92
Jansen,1.0,1,0,0,0,2,0,3.83
,9.0,4,1,1,5,9,0,
