PITCHERS - CWS,IP,H,R,ER,BB,SO,HR,ERA
"Kopech(W, 2-2)",6.0,1,0,0,1,8,0,1.94
"López, R",0.2,2,0,0,0,0,0,4.37
Bummer,0.1,0,0,0,1,1,0,3.06
Graveman,1.0,2,0,0,0,0,0,2.45
Hendriks,1.0,0,0,0,1,0,0,2.92
,9.0,5,0,0,3,9,0,
