BATTERS - OAK,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Kemp2B,3,1,0,0,1,1,0,.217,.577
LaureanoRF,4,0,1,0,0,2,0,.239,.698
"Brown, S1B",3,0,0,0,1,2,2,.218,.703
"Murphy, SDH",3,0,1,1,0,0,1,.226,.701
PiscottyLF,3,0,0,0,0,3,2,.218,.615
VogtC,3,0,0,0,0,1,1,.164,.573
BoltCF,3,0,0,0,0,1,1,.000,.000
Machín3B,2,0,1,0,0,1,0,.250,.500
a-NeusePH-3B,1,0,0,0,0,1,0,.248,.621
"Allen, NSS",3,0,1,0,0,0,1,.250,.695
,28,1,4,1,2,12,8,,
