BATTERS - BAL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
HaysLF,5,0,1,0,0,3,4,.212,.606
Mountcastle1B,4,1,2,0,0,1,2,.278,.677
ManciniRF,2,1,0,0,2,1,2,.235,.613
"López, JoP",0,0,0,0,0,0,0,.000,.000
SantanderDH-RF,3,0,0,0,1,2,4,.269,.895
McKennaCF,2,0,0,0,0,1,2,.000,.000
a-MullinsPH-CF,2,0,0,0,0,1,4,.167,.592
ChirinosC,3,1,0,0,1,2,0,.167,.515
Owings2B,3,0,0,0,0,3,0,.000,.300
b-OdorPH-2B,1,1,1,2,0,0,0,.200,.523
Gutiérrez3B,4,1,2,2,0,1,0,.200,.633
MateoSS,4,0,3,1,0,1,0,.267,.653
,33,5,9,5,4,16,18,,
