PITCHERS - BAL,IP,H,R,ER,BB,SO,HR,ERA
Zimmermann,5.0,4,0,0,2,6,0,0.00
"Bautista, F",1.0,0,0,0,1,1,0,2.25
Tate,1.0,0,0,0,0,1,0,1.42
"López, Jo(W, 1-1)",2.0,0,0,0,0,2,0,3.38
,9.0,4,0,0,3,10,0,
