Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2019,TOR,AL,514,201,206,0,2,.308,43,17,86,1986,3.864,.177,.029,.505,.162,4,0
2020,TOR,AL,243,102,91,0,0,.282,24,6,34,907,3.733,.156,.037,.526,.199,3,0
2021,TOR,AL,698,363,235,0,2,.313,78,20,102,2509,3.595,.158,.069,.782,.290,3,0
2022,TOR,AL,706,306,256,0,4,.289,67,26,109,2596,3.677,.164,.045,.500,.205,5,3
4 Seasons,TOR,AL,2161,972,788,0,8,.300,212,69,331,7998,3.701,.164,.048,.592,.221,15,3
