 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2019,,514,"1,986",-9,-7,12,9,5
2020,,250,938,3,-11,8,5,4
2021,,691,"2,509",25,0,23,14,61
2022,,708,"2,628",4,-12,14,12,17
