 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2019,,538,17.3,27.1%,2.8%,371,23.6,0.3%,14.0%
2020,,255,18.4,15.7%,1.6%,158,24.4,0.6%,17.1%
2021,,711,19.5,12.7%,3.9%,410,26.4,0.7%,27.1%
2022,,697,19.5,12.2%,3.7%,432,25.1,1.2%,20.6%
