PITCHERS - LAA,IP,H,R,ER,BB,SO,HR,ERA
Davidson,4.0,3,1,1,5,5,0,5.77
"Wantz(W, 2-0)",1.0,0,0,0,0,0,0,2.92
"Barria(H, 2)",2.0,3,1,1,1,0,0,2.58
Chavez,1.0,1,0,0,0,1,0,3.62
"Reyes, Ger",1.0,2,1,1,1,0,1,4.50
,9.0,9,3,3,7,6,1,
