PITCHERS - CLE,IP,H,R,ER,BB,SO,HR,ERA
Plesac,6.1,4,1,1,1,7,1,4.32
"Hentges(H, 2)",1.1,1,0,0,0,3,0,3.16
"Stephan(H, 8)",0.2,2,2,2,2,1,0,2.66
"De Los Santos, E(W, 3-0)(BS, 1)",0.2,0,0,0,0,1,0,3.22
"Shaw(S, 1)",1.0,0,0,0,0,2,0,5.10
,10.0,7,3,3,3,14,1,
