BATTERS - HOU,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Altuve2B,5,1,1,0,0,0,0,.160,.408
PeñaSS,5,1,2,0,0,2,0,.300,.907
"Alvarez, YDH",4,1,1,1,0,1,1,.205,.749
Bregman3B,5,1,1,2,0,0,2,.283,.905
TuckerRF,2,0,1,1,1,0,0,.238,.803
Gurriel1B,4,0,2,1,0,0,2,.348,.840
VázquezC,3,0,1,0,0,2,1,.214,.527
DíazLF,4,0,0,0,0,3,5,.045,.178
DubónCF,0,0,0,0,0,0,0,.000,.000
McCormickCF-LF,4,1,1,0,0,3,2,.281,.864
,36,5,10,5,1,11,13,,
