BATTERS - SD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
ProfarLF,4,1,3,1,0,0,0,.245,.737
Cronenworth2B,3,1,0,0,1,3,1,.214,.648
"Machado, M3B",4,0,0,0,0,0,3,.327,.942
VoitDH,4,1,1,3,0,2,1,.233,.713
Hosmer1B,4,0,0,0,0,1,0,.295,.770
KimSS,4,1,1,0,0,2,0,.210,.630
MazaraRF,3,0,1,1,0,0,0,.286,.804
AlfaroC,4,1,1,0,0,2,2,.261,.722
GrishamCF,3,0,0,0,0,3,2,.175,.588
,33,5,7,5,1,13,9,,
