PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
"Carrasco(W, 7-1)",7.0,5,2,2,0,10,0,3.52
"Rodríguez, J",0.1,1,2,2,1,1,0,5.30
"Smith, Dr",1.2,1,1,1,0,2,1,2.45
,9.0,7,5,5,1,13,1,
