PITCHERS - STL,IP,H,R,ER,BB,SO,HR,ERA
"Hicks, J(L, 1-1)",3.0,2,1,1,2,3,0,1.29
VerHagen,1.0,2,1,0,1,0,0,5.79
Brooks,2.2,3,3,3,1,1,2,6.35
Wittgren,0.1,0,0,0,0,1,0,2.70
Whitley,1.0,0,0,0,0,0,0,0.00
,8.0,7,5,4,4,5,2,
