PITCHERS - MIA,IP,H,R,ER,BB,SO,HR,ERA
"López, P(W, 2-0)",7.0,3,0,0,0,9,0,0.52
"Scott, Tan",1.0,1,0,0,0,2,0,3.00
Bass,1.0,1,0,0,0,2,0,3.38
,9.0,5,0,0,0,13,0,
