 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,187,80.2,75.1,--,--,--,--,187,75.1,--,--,--,--,--,--,--,--
2021,485,91.0,79.9,--,--,--,--,485,79.9,--,--,--,--,--,--,--,--
2022,444,84.5,80.9,--,--,--,--,444,80.9,--,--,--,--,--,--,--,--
