Season,Team,Pos,PA,Depth (ft.),Angle
2016,CLE,4,144,156,15
2016,CLE,7,1509,303,-27
2016,CLE,5,3538,116,-32
2016,CLE,6,116,149,-13
2017,CLE,5,3017,115,-33
2017,CLE,4,2314,152,15
2018,CLE,5,4915,114,-32
2018,CLE,4,605,152,15
2019,CLE,5,4502,118,-31
2020,CLE,5,1990,119,-28
2021,CLE,5,4751,122,-28
2022,CLE,5,4553,122,-29
