,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,685,601,90,168,29,126,20,.280,.355,.514,.869
10 Seasons,4713,4146,697,1155,192,666,174,.279,.354,.503,.857
