 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2014,,265,"1,014",-6,-9,6,5,-5
2015,,355,"1,416",-9,-9,9,5,-5
2016,,675,"2,639",-8,-8,25,12,20
2017,,658,"2,664",2,-6,27,12,35
2018,,683,"2,988",18,-14,28,15,46
2019,,536,"2,160",-10,-8,17,11,11
2020,,263,"1,182",7,-2,13,8,26
2021,,625,"2,672",17,-16,23,13,36
2022,,697,"2,855",7,-2,15,14,34
