BATTERS - NYY,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
LeMahieu2B,5,1,2,2,0,2,2,.285,.813
JudgeCF-RF,3,1,0,0,2,1,1,.297,1.054
Rizzo1B,4,1,2,3,1,0,1,.228,.852
1-GonzalezPR,0,0,0,0,0,0,0,.222,.646
TorresDH,5,0,0,0,0,2,4,.261,.790
BenintendiLF,2,0,0,0,2,0,0,.314,.777
Donaldson3B,4,0,0,0,0,0,3,.217,.669
CarpenterRF,3,1,2,0,0,0,1,.321,1.238
TrevinoC,1,0,0,0,0,1,0,.255,.705
Kiner-FalefaSS,4,0,0,0,0,0,3,.269,.633
HigashiokaC,2,1,1,1,0,0,1,.188,.560
"a-Hicks, APH-CF",1,1,0,0,1,0,0,.233,.692
,34,6,7,6,6,6,16,,
