PITCHERS - HOU,IP,H,R,ER,BB,SO,HR,ERA
"Garcia, L(L, 8-7)",7.0,6,3,3,1,5,1,3.81
"Maton, P",1.0,0,0,0,0,2,0,3.38
Montero,1.0,0,0,0,0,1,0,1.67
,9.0,6,3,3,1,8,1,
