BATTERS - SF,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
La StellaDH,3,0,0,0,0,0,0,.256,.831
a-RufPH-DH,2,0,0,0,0,1,0,.219,.657
YastrzemskiCF-RF,3,1,1,0,2,0,0,.298,.887
Flores1B,5,1,1,2,0,0,2,.258,.737
PedersonLF,3,0,1,0,0,0,0,.267,.932
"Crawford, BraSS",3,0,0,0,0,0,3,.222,.648
Longoria3B,4,1,1,1,0,3,2,.241,.824
"Gonzalez, LRF",4,0,1,0,0,1,0,.323,.812
FairchildCF,0,1,0,0,0,0,0,.000,.000
Walton2B,4,0,0,0,0,1,1,.222,.611
CasaliC,4,1,1,2,0,1,0,.262,.825
,35,5,6,5,2,7,8,,
