PITCHERS - SF,IP,H,R,ER,BB,SO,HR,ERA
Webb,8.0,4,3,3,0,10,3,3.52
"Leone(W, 3-0)",1.0,1,0,0,0,1,0,3.18
"Doval(S, 8)",1.0,0,1,0,0,1,0,3.26
,10.0,5,4,3,0,12,3,
