BATTERS - TEX,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Semien2B,4,0,0,0,0,2,2,.178,.478
"García, AdDH",4,0,0,0,0,3,1,.206,.654
SeagerSS,3,0,0,0,1,1,0,.231,.645
HeimC,3,0,1,0,1,0,1,.341,1.094
"1-Miller, BPR",0,0,0,0,0,0,0,.188,.553
SolakLF,3,0,0,0,1,0,2,.200,.654
Ibáñez1B,3,0,0,0,0,1,3,.225,.563
CalhounRF,3,0,0,0,0,1,3,.167,.422
Culberson3B,3,0,0,0,0,2,0,.233,.548
"White, ECF",2,0,1,0,1,1,0,.304,.929
,28,0,2,0,4,11,12,,
